ID;Название
0;
1;золотистый
2;розовый
3;серебристый
4;черный
5;белый
6;синий
7;красный
8;фиолетовый
9;серый
10;зеленый
11;бирюзовый
12;салатовый
13;медный
14;коричневый
15;желтый
16;графит
17;хром
18;оранжевый
19;бежевый
20;бронзовый
21;песочный
22;бордовый

