ID;Категория;Артикул;Имя товара;Цена;Количество;Производитель;Опция:Цвет;GroupID;GroupID;ManufID
749;Мобильные телефоны;1059800;Мобильный телефон LG G6 64GB Duos;27929,0;5;LG;;0;;10
750;Мобильные телефоны;1059800;Мобильный телефон LG G6 64GB Duos;28 598,9;8;LG;золотистый;1;;10
751;Мобильные телефоны;1059800;Мобильный телефон LG G6 64GB Duos;28 587,9;13;LG;серебристый;3;;10
752;Мобильные телефоны;1059800;Мобильный телефон LG G6 64GB Duos;27 929,0;5;LG;серый;9;;10
753;Мобильные телефоны;1059800;Мобильный телефон LG G6 64GB Duos;28 818,9;8;LG;черный;4;;10
754;Мобильные телефоны;1059800;Мобильный телефон LG G6 64GB Duos;30 789,0;2;LG;белый;5;;10
755;Мобильные телефоны;1059800;Мобильный телефон LG G6 64GB Duos;28 917,9;9;LG;синий;6;;10
756;Мобильные телефоны;795935;Мобильный телефон HTC 10 32GB;14525,5;12;HTC;;0;;7
757;Мобильные телефоны;795935;Мобильный телефон HTC 10 32GB;14 525,5;15;HTC;золотистый;1;;7
758;Мобильные телефоны;795935;Мобильный телефон HTC 10 32GB;14 525,5;4;HTC;серебристый;3;;7
759;Мобильные телефоны;795935;Мобильный телефон HTC 10 32GB;14 525,5;13;HTC;черный;4;;7
760;Мобильные телефоны;82577;Мобильный телефон Nokia E52;5368,0;7;Nokia;;0;;6
761;Мобильные телефоны;82577;Мобильный телефон Nokia E52;6 490,0;14;Nokia;золотистый;1;;6
762;Мобильные телефоны;82577;Мобильный телефон Nokia E52;5 368,0;9;Nokia;серебристый;3;;6
763;Мобильные телефоны;82577;Мобильный телефон Nokia E52;5 368,0;11;Nokia;серый;9;;6
764;Мобильные телефоны;82577;Мобильный телефон Nokia E52;5 368,0;5;Nokia;черный;4;;6
765;Мобильные телефоны;82577;Мобильный телефон Nokia E52;5 368,0;7;Nokia;бронзовый;20;;6
766;Мобильные телефоны;1152513;Мобильный телефон Asus Zenfone 4 Max 16GB ZC554KL;11968,0;5;Asus;;0;;12
767;Мобильные телефоны;1152513;Мобильный телефон Asus Zenfone 4 Max 16GB ZC554KL;11 979,0;3;Asus;золотистый;1;;12
768;Мобильные телефоны;1152513;Мобильный телефон Asus Zenfone 4 Max 16GB ZC554KL;12 089,0;2;Asus;серый;9;;12
769;Мобильные телефоны;1152513;Мобильный телефон Asus Zenfone 4 Max 16GB ZC554KL;11 968,0;3;Asus;черный;4;;12
770;Мобильные телефоны;378181;Мобильный телефон Nokia Lumia 930;11988,9;2;Nokia;;0;;6
771;Мобильные телефоны;378181;Мобильный телефон Nokia Lumia 930;11 988,9;7;Nokia;черный;4;;6
772;Мобильные телефоны;378181;Мобильный телефон Nokia Lumia 930;11 988,9;12;Nokia;белый;5;;6
773;Мобильные телефоны;38915;Мобильный телефон Nokia 8800;13046,0;14;Nokia;;0;;6
774;Мобильные телефоны;38915;Мобильный телефон Nokia 8800;13 046,0;2;Nokia;золотистый;1;;6
775;Мобильные телефоны;38915;Мобильный телефон Nokia 8800;13 046,0;13;Nokia;серебристый;3;;6
776;Мобильные телефоны;38915;Мобильный телефон Nokia 8800;13 046,0;8;Nokia;черный;4;;6
777;Мобильные телефоны;957072;Мобильный телефон Xiaomi Mi Mix 128GB;27885,0;9;Xiaomi;;0;;1
778;Мобильные телефоны;957072;Мобильный телефон Xiaomi Mi Mix 128GB;27 885,0;8;Xiaomi;черный;4;;1
779;Мобильные телефоны;1283540;Мобильный телефон Sony Xperia XA2 Dual;26777,3;5;Sony;;0;;5
780;Мобильные телефоны;1283540;Мобильный телефон Sony Xperia XA2 Dual;31 238,9;8;Sony;золотистый;1;;5
781;Мобильные телефоны;1283540;Мобильный телефон Sony Xperia XA2 Dual;25 287,9;8;Sony;розовый;2;;5
782;Мобильные телефоны;1283540;Мобильный телефон Sony Xperia XA2 Dual;25 298,9;7;Sony;серебристый;3;;5
783;Мобильные телефоны;1283540;Мобильный телефон Sony Xperia XA2 Dual;25 067,9;3;Sony;черный;4;;5
784;Мобильные телефоны;1283540;Мобильный телефон Sony Xperia XA2 Dual;25 177,9;15;Sony;синий;6;;5
785;Мобильные телефоны;1112307;Мобильный телефон HTC U11 64GB;36949,0;8;HTC;;0;;7
786;Мобильные телефоны;1112307;Мобильный телефон HTC U11 64GB;38 489,0;8;HTC;красный;7;;7
787;Мобильные телефоны;1112307;Мобильный телефон HTC U11 64GB;42 669,0;13;HTC;серебристый;3;;7
788;Мобильные телефоны;1112307;Мобильный телефон HTC U11 64GB;36 949,0;6;HTC;черный;4;;7
789;Мобильные телефоны;1112307;Мобильный телефон HTC U11 64GB;41 800,0;13;HTC;белый;5;;7
790;Мобильные телефоны;1112307;Мобильный телефон HTC U11 64GB;37 939,0;15;HTC;синий;6;;7
791;Мобильные телефоны;214328;Мобильный телефон Nokia Lumia 920;5434,0;10;Nokia;;0;;6
792;Мобильные телефоны;214328;Мобильный телефон Nokia Lumia 920;5 434,0;2;Nokia;желтый;15;;6
793;Мобильные телефоны;214328;Мобильный телефон Nokia Lumia 920;5 434,0;8;Nokia;красный;7;;6
794;Мобильные телефоны;214328;Мобильный телефон Nokia Lumia 920;6 996,0;3;Nokia;серый;9;;6
795;Мобильные телефоны;214328;Мобильный телефон Nokia Lumia 920;5 434,0;15;Nokia;черный;4;;6
796;Мобильные телефоны;214328;Мобильный телефон Nokia Lumia 920;5 434,0;11;Nokia;белый;5;;6
797;Мобильные телефоны;214328;Мобильный телефон Nokia Lumia 920;5 434,0;7;Nokia;синий;6;;6
798;Мобильные телефоны;297087;Мобильный телефон Nokia Lumia 1020;10345,5;3;Nokia;;0;;6
799;Мобильные телефоны;297087;Мобильный телефон Nokia Lumia 1020;10 345,5;2;Nokia;желтый;15;;6
800;Мобильные телефоны;297087;Мобильный телефон Nokia Lumia 1020;10 345,5;9;Nokia;черный;4;;6
801;Мобильные телефоны;297087;Мобильный телефон Nokia Lumia 1020;10 345,5;2;Nokia;белый;5;;6
802;Мобильные телефоны;1132771;Мобильный телефон Huawei Honor 9 128GB/6GB Dual Sim;28587,9;15;Huawei;;0;;4
803;Мобильные телефоны;1132771;Мобильный телефон Huawei Honor 9 128GB/6GB Dual Sim;29 469,0;8;Huawei;серый;9;;4
804;Мобильные телефоны;1132771;Мобильный телефон Huawei Honor 9 128GB/6GB Dual Sim;28 587,9;4;Huawei;синий;6;;4
805;Мобильные телефоны;608983;Мобильный телефон Huawei Honor 7 Dual Sim;16058,9;3;Huawei;;0;;4
806;Мобильные телефоны;608983;Мобильный телефон Huawei Honor 7 Dual Sim;18 689,0;3;Huawei;золотистый;1;;4
807;Мобильные телефоны;608983;Мобильный телефон Huawei Honor 7 Dual Sim;14 850,0;7;Huawei;красный;7;;4
808;Мобильные телефоны;608983;Мобильный телефон Huawei Honor 7 Dual Sim;16 058,9;7;Huawei;черный;4;;4
809;Мобильные телефоны;608983;Мобильный телефон Huawei Honor 7 Dual Sim;17 367,9;4;Huawei;синий;6;;4
810;Мобильные телефоны;742553;Мобильный телефон Alcatel One Touch Idol 4 6055K;10586,4;2;Alcatel;;0;;14
811;Мобильные телефоны;742553;Мобильный телефон Alcatel One Touch Idol 4 6055K;10 586,4;5;Alcatel;золотистый;1;;14
812;Мобильные телефоны;742553;Мобильный телефон Alcatel One Touch Idol 4 6055K;7 139,0;9;Alcatel;серый;9;;14
813;Мобильные телефоны;631316;Мобильный телефон Samsung Galaxy S6 Edge Plus 32GB;24750,0;15;Samsung;;0;;0
814;Мобильные телефоны;631316;Мобильный телефон Samsung Galaxy S6 Edge Plus 32GB;24 750,0;6;Samsung;золотистый;1;;0
815;Мобильные телефоны;631316;Мобильный телефон Samsung Galaxy S6 Edge Plus 32GB;24 750,0;15;Samsung;черный;4;;0
816;Мобильные телефоны;631316;Мобильный телефон Samsung Galaxy S6 Edge Plus 32GB;24 750,0;9;Samsung;белый;5;;0
817;Мобильные телефоны;1089250;Мобильный телефон Huawei Y5 2017 Dual Sim;6699,0;7;Huawei;;0;;4
818;Мобильные телефоны;1089250;Мобильный телефон Huawei Y5 2017 Dual Sim;6 919,0;11;Huawei;золотистый;1;;4
819;Мобильные телефоны;1089250;Мобильный телефон Huawei Y5 2017 Dual Sim;6 699,0;12;Huawei;серый;9;;4
820;Мобильные телефоны;60519;Мобильный телефон Nokia 6555;3718,0;15;Nokia;;0;;6
821;Мобильные телефоны;60519;Мобильный телефон Nokia 6555;3 718,0;7;Nokia;золотистый;1;;6
822;Мобильные телефоны;60519;Мобильный телефон Nokia 6555;3 718,0;12;Nokia;красный;7;;6
823;Мобильные телефоны;60519;Мобильный телефон Nokia 6555;3 718,0;4;Nokia;серебристый;3;;6
824;Мобильные телефоны;60519;Мобильный телефон Nokia 6555;3 718,0;4;Nokia;черный;4;;6
825;Мобильные телефоны;970408;Мобильный телефон Xiaomi Redmi 4 16GB;8688,9;7;Xiaomi;;0;;1
826;Мобильные телефоны;970408;Мобильный телефон Xiaomi Redmi 4 16GB;8 688,9;6;Xiaomi;золотистый;1;;1
827;Мобильные телефоны;970408;Мобильный телефон Xiaomi Redmi 4 16GB;9 603,0;5;Xiaomi;серебристый;3;;1
828;Мобильные телефоны;970408;Мобильный телефон Xiaomi Redmi 4 16GB;9 537,0;12;Xiaomi;черный;4;;1
829;Мобильные телефоны;970408;Мобильный телефон Xiaomi Redmi 4 16GB;9 020,0;3;Xiaomi;белый;5;;1
830;Мобильные телефоны;1245675;Мобильный телефон Huawei Honor 6C;10329,0;4;Huawei;;0;;4
831;Мобильные телефоны;1245675;Мобильный телефон Huawei Honor 6C;10 329,0;2;Huawei;золотистый;1;;4
832;Мобильные телефоны;1245675;Мобильный телефон Huawei Honor 6C;10 329,0;7;Huawei;серебристый;3;;4
833;Мобильные телефоны;1245675;Мобильный телефон Huawei Honor 6C;10 989,0;8;Huawei;серый;9;;4
834;Мобильные телефоны;1245675;Мобильный телефон Huawei Honor 6C;12 089,0;11;Huawei;черный;4;;4
835;Мобильные телефоны;1245675;Мобильный телефон Huawei Honor 6C;12 089,0;7;Huawei;синий;6;;4
836;Мобильные телефоны;1112379;Мобильный телефон HTC U11 128GB;35847,9;9;HTC;;0;;7
837;Мобильные телефоны;1112379;Мобильный телефон HTC U11 128GB;35 847,9;14;HTC;красный;7;;7
838;Мобильные телефоны;1112379;Мобильный телефон HTC U11 128GB;36 177,9;14;HTC;серебристый;3;;7
839;Мобильные телефоны;1112379;Мобильный телефон HTC U11 128GB;43 648,0;14;HTC;черный;4;;7
840;Мобильные телефоны;1112379;Мобильный телефон HTC U11 128GB;37 169,0;7;HTC;белый;5;;7
841;Мобильные телефоны;1112379;Мобильный телефон HTC U11 128GB;43 659,0;3;HTC;синий;6;;7
842;Мобильные телефоны;977100;Мобильный телефон Asus ZenFone Go 16GB ZB500KL;5049,0;7;Asus;;0;;12
843;Мобильные телефоны;977100;Мобильный телефон Asus ZenFone Go 16GB ZB500KL;5 049,0;3;Asus;черный;4;;12
844;Мобильные телефоны;977100;Мобильный телефон Asus ZenFone Go 16GB ZB500KL;8 569,0;13;Asus;белый;5;;12
845;Мобильные телефоны;964350;Мобильный телефон Meizu M5 16GB;7588,9;11;Meizu;;0;;8
846;Мобильные телефоны;964350;Мобильный телефон Meizu M5 16GB;7 588,9;3;Meizu;золотистый;1;;8
847;Мобильные телефоны;964350;Мобильный телефон Meizu M5 16GB;7 579,0;3;Meizu;серый;9;;8
848;Мобильные телефоны;964350;Мобильный телефон Meizu M5 16GB;7 964,0;3;Meizu;черный;4;;8
849;Мобильные телефоны;964350;Мобильный телефон Meizu M5 16GB;7 898,0;4;Meizu;белый;5;;8
850;Мобильные телефоны;964350;Мобильный телефон Meizu M5 16GB;9 339,0;8;Meizu;синий;6;;8
851;Мобильные телефоны;1258212;Мобильный телефон Asus Zenfone Max Plus M1 32GB ZB570TL;14168,0;5;Asus;;0;;12
852;Мобильные телефоны;1258212;Мобильный телефон Asus Zenfone Max Plus M1 32GB ZB570TL;14 168,0;11;Asus;золотистый;1;;12
853;Мобильные телефоны;1258212;Мобильный телефон Asus Zenfone Max Plus M1 32GB ZB570TL;14 168,0;7;Asus;черный;4;;12
854;Мобильные телефоны;1120327;Мобильный телефон Xiaomi Mi Max 2 128GB;21450,0;2;Xiaomi;;0;;1
855;Мобильные телефоны;1120327;Мобильный телефон Xiaomi Mi Max 2 128GB;21 450,0;3;Xiaomi;золотистый;1;;1
856;Мобильные телефоны;1120327;Мобильный телефон Xiaomi Mi Max 2 128GB;21 890,0;5;Xiaomi;черный;4;;1
857;Мобильные телефоны;605338;Мобильный телефон LG G360;4576,0;12;LG;;0;;10
858;Мобильные телефоны;605338;Мобильный телефон LG G360;4 576,0;6;LG;красный;7;;10
859;Мобильные телефоны;605338;Мобильный телефон LG G360;4 609,0;12;LG;черный;4;;10
860;Мобильные телефоны;1022393;Мобильный телефон HTC U Ultra 64GB Dual Sim;20667,9;12;HTC;;0;;7
861;Мобильные телефоны;1022393;Мобильный телефон HTC U Ultra 64GB Dual Sim;20 887,9;14;HTC;черный;4;;7
862;Мобильные телефоны;1022393;Мобильный телефон HTC U Ultra 64GB Dual Sim;20 667,9;10;HTC;белый;5;;7
863;Мобильные телефоны;1022393;Мобильный телефон HTC U Ultra 64GB Dual Sim;20 898,9;6;HTC;синий;6;;7
864;Мобильные телефоны;1192401;Мобильный телефон Samsung Galaxy Note8 128GB;55880,0;2;Samsung;;0;;0
865;Мобильные телефоны;1192401;Мобильный телефон Samsung Galaxy Note8 128GB;55 880,0;15;Samsung;золотистый;1;;0
866;Мобильные телефоны;1192401;Мобильный телефон Samsung Galaxy Note8 128GB;55 880,0;13;Samsung;розовый;2;;0
867;Мобильные телефоны;1192401;Мобильный телефон Samsung Galaxy Note8 128GB;55 880,0;3;Samsung;серый;9;;0
868;Мобильные телефоны;1192401;Мобильный телефон Samsung Galaxy Note8 128GB;56 210,0;5;Samsung;черный;4;;0
869;Мобильные телефоны;1192401;Мобильный телефон Samsung Galaxy Note8 128GB;55 880,0;15;Samsung;синий;6;;0
870;Мобильные телефоны;916498;Мобильный телефон Apple iPhone 7 Plus 256GB;54989,0;7;Apple;;0;;2
871;Мобильные телефоны;916498;Мобильный телефон Apple iPhone 7 Plus 256GB;54 989,0;10;Apple;золотистый;1;;2
872;Мобильные телефоны;916498;Мобильный телефон Apple iPhone 7 Plus 256GB;54 989,0;8;Apple;красный;7;;2
873;Мобильные телефоны;916498;Мобильный телефон Apple iPhone 7 Plus 256GB;54 989,0;13;Apple;розовый;2;;2
874;Мобильные телефоны;916498;Мобильный телефон Apple iPhone 7 Plus 256GB;54 989,0;7;Apple;серебристый;3;;2
875;Мобильные телефоны;916498;Мобильный телефон Apple iPhone 7 Plus 256GB;54 989,0;14;Apple;черный;4;;2
876;Мобильные телефоны;268933;Мобильный телефон Samsung Galaxy S4 LTE;6930,0;15;Samsung;;0;;0
877;Мобильные телефоны;268933;Мобильный телефон Samsung Galaxy S4 LTE;6 930,0;11;Samsung;черный;4;;0
878;Мобильные телефоны;268933;Мобильный телефон Samsung Galaxy S4 LTE;6 930,0;7;Samsung;белый;5;;0
879;Мобильные телефоны;268933;Мобильный телефон Samsung Galaxy S4 LTE;6 578,0;8;Samsung;синий;6;;0
880;Мобильные телефоны;910610;Мобильный телефон Sony Xperia X Compact;20328,0;6;Sony;;0;;5
881;Мобильные телефоны;910610;Мобильный телефон Sony Xperia X Compact;17 704,5;5;Sony;черный;4;;5
882;Мобильные телефоны;910610;Мобильный телефон Sony Xperia X Compact;21 989,0;3;Sony;белый;5;;5
883;Мобильные телефоны;910610;Мобильный телефон Sony Xperia X Compact;17 704,5;9;Sony;синий;6;;5
884;Мобильные телефоны;990195;Мобильный телефон WileyFox Swift 2 Plus;7689,0;10;WileyFox;;0;;15
885;Мобильные телефоны;990195;Мобильный телефон WileyFox Swift 2 Plus;7 689,0;14;WileyFox;золотистый;1;;15
886;Мобильные телефоны;990195;Мобильный телефон WileyFox Swift 2 Plus;7 689,0;7;WileyFox;синий;6;;15
887;Мобильные телефоны;1191847;Мобильный телефон Meizu M6 Note 16GB;10778,9;2;Meizu;;0;;8
888;Мобильные телефоны;1191847;Мобильный телефон Meizu M6 Note 16GB;13 409,0;7;Meizu;золотистый;1;;8
889;Мобильные телефоны;1191847;Мобильный телефон Meizu M6 Note 16GB;13 409,0;9;Meizu;серебристый;3;;8
890;Мобильные телефоны;1191847;Мобильный телефон Meizu M6 Note 16GB;10 778,9;3;Meizu;черный;4;;8
891;Мобильные телефоны;1191847;Мобильный телефон Meizu M6 Note 16GB;10 778,9;13;Meizu;белый;5;;8
892;Мобильные телефоны;1191847;Мобильный телефон Meizu M6 Note 16GB;13 409,0;9;Meizu;синий;6;;8
893;Мобильные телефоны;1219389;Мобильный телефон Google Pixel 2 64GB;50589,0;4;Google;;0;;16
894;Мобильные телефоны;1219389;Мобильный телефон Google Pixel 2 64GB;51 689,0;3;Google;черный;4;;16
895;Мобильные телефоны;1219389;Мобильный телефон Google Pixel 2 64GB;50 699,0;8;Google;белый;5;;16
896;Мобильные телефоны;1219389;Мобильный телефон Google Pixel 2 64GB;50 589,0;9;Google;синий;6;;16
897;Мобильные телефоны;868422;Мобильный телефон Asus Zenfone 3 32GB ZE520KL;14507,9;3;Asus;;0;;12
898;Мобильные телефоны;868422;Мобильный телефон Asus Zenfone 3 32GB ZE520KL;19 239,0;2;Asus;золотистый;1;;12
899;Мобильные телефоны;868422;Мобильный телефон Asus Zenfone 3 32GB ZE520KL;14 177,9;13;Asus;серебристый;3;;12
900;Мобильные телефоны;868422;Мобильный телефон Asus Zenfone 3 32GB ZE520KL;14 507,9;13;Asus;черный;4;;12
901;Мобильные телефоны;868422;Мобильный телефон Asus Zenfone 3 32GB ZE520KL;18 689,0;2;Asus;белый;5;;12
902;Мобильные телефоны;868422;Мобильный телефон Asus Zenfone 3 32GB ZE520KL;14 177,9;13;Asus;синий;6;;12
903;Мобильные телефоны;1204848;Мобильный телефон Apple iPhone 8 256GB;58080,0;4;Apple;;0;;2
904;Мобильные телефоны;1204848;Мобильный телефон Apple iPhone 8 256GB;58 080,0;13;Apple;золотистый;1;;2
905;Мобильные телефоны;1204848;Мобильный телефон Apple iPhone 8 256GB;58 410,0;13;Apple;серебристый;3;;2
906;Мобильные телефоны;1204848;Мобильный телефон Apple iPhone 8 256GB;56 045,0;12;Apple;серый;9;;2
907;Мобильные телефоны;1204848;Мобильный телефон Apple iPhone 8 256GB;60 170,0;14;Apple;черный;4;;2
908;Мобильные телефоны;1111919;Мобильный телефон Huawei Y3 2017 Dual Sim;5929,0;15;Huawei;;0;;4
909;Мобильные телефоны;1111919;Мобильный телефон Huawei Y3 2017 Dual Sim;6 182,0;4;Huawei;золотистый;1;;4
910;Мобильные телефоны;1111919;Мобильный телефон Huawei Y3 2017 Dual Sim;5 929,0;3;Huawei;серый;9;;4
911;Мобильные телефоны;1060075;Мобильный телефон Nokia 3310 2017 Dual Sim;3377,0;10;Nokia;;0;;6
912;Мобильные телефоны;1060075;Мобильный телефон Nokia 3310 2017 Dual Sim;3 542,0;6;Nokia;желтый;15;;6
913;Мобильные телефоны;1060075;Мобильный телефон Nokia 3310 2017 Dual Sim;3 377,0;14;Nokia;красный;7;;6
914;Мобильные телефоны;1060075;Мобильный телефон Nokia 3310 2017 Dual Sim;3 564,0;7;Nokia;серый;9;;6
915;Мобильные телефоны;1060075;Мобильный телефон Nokia 3310 2017 Dual Sim;3 542,0;9;Nokia;синий;6;;6
916;Мобильные телефоны;1190082;Мобильный телефон Blackview BV8000 Pro;17050,0;12;Blackview;;0;;17
917;Мобильные телефоны;1190082;Мобильный телефон Blackview BV8000 Pro;17 050,0;2;Blackview;золотистый;1;;17
918;Мобильные телефоны;1190082;Мобильный телефон Blackview BV8000 Pro;17 347,0;12;Blackview;серебристый;3;;17
919;Мобильные телефоны;1190082;Мобильный телефон Blackview BV8000 Pro;17 490,0;4;Blackview;серый;9;;17
920;Мобильные телефоны;55401;Мобильный телефон Nokia N76;5368,0;10;Nokia;;0;;6
921;Мобильные телефоны;55401;Мобильный телефон Nokia N76;5 368,0;13;Nokia;красный;7;;6
922;Мобильные телефоны;55401;Мобильный телефон Nokia N76;5 368,0;11;Nokia;черный;4;;6
923;Мобильные телефоны;55401;Мобильный телефон Nokia N76;6 050,0;11;Nokia;белый;5;;6
924;Мобильные телефоны;1305580;Мобильный телефон Xiaomi Redmi 5 32GB/4GB;12747,9;14;Xiaomi;;0;;1
925;Мобильные телефоны;1305580;Мобильный телефон Xiaomi Redmi 5 32GB/4GB;12 747,9;10;Xiaomi;золотистый;1;;1
926;Мобильные телефоны;1305580;Мобильный телефон Xiaomi Redmi 5 32GB/4GB;13 189,0;2;Xiaomi;черный;4;;1
927;Мобильные телефоны;1209447;Мобильный телефон Meizu M6 32GB;9174,0;6;Meizu;;0;;8
928;Мобильные телефоны;1209447;Мобильный телефон Meizu M6 32GB;9 174,0;11;Meizu;золотистый;1;;8
929;Мобильные телефоны;1209447;Мобильный телефон Meizu M6 32GB;9 504,0;14;Meizu;серебристый;3;;8
930;Мобильные телефоны;1209447;Мобильный телефон Meizu M6 32GB;9 196,0;7;Meizu;черный;4;;8
931;Мобильные телефоны;1209447;Мобильный телефон Meizu M6 32GB;9 196,0;14;Meizu;белый;5;;8
932;Мобильные телефоны;1209447;Мобильный телефон Meizu M6 32GB;9 678,9;10;Meizu;синий;6;;8
933;Мобильные телефоны;1152494;Мобильный телефон Asus Zenfone 4 Max 32GB ZC554KL;14289,0;10;Asus;;0;;12
934;Мобильные телефоны;1152494;Мобильный телефон Asus Zenfone 4 Max 32GB ZC554KL;15 389,0;10;Asus;золотистый;1;;12
935;Мобильные телефоны;1152494;Мобильный телефон Asus Zenfone 4 Max 32GB ZC554KL;14 289,0;6;Asus;черный;4;;12
936;Мобильные телефоны;861518;Мобильный телефон BQ BQ-5020 Strike;5324,0;7;BQ;;0;;18
937;Мобильные телефоны;861518;Мобильный телефон BQ BQ-5020 Strike;4 398,9;15;BQ;зеленый;10;;18
938;Мобильные телефоны;861518;Мобильный телефон BQ BQ-5020 Strike;5 324,0;12;BQ;золотистый;1;;18
939;Мобильные телефоны;861518;Мобильный телефон BQ BQ-5020 Strike;5 489,0;12;BQ;красный;7;;18
940;Мобильные телефоны;861518;Мобильный телефон BQ BQ-5020 Strike;5 489,0;3;BQ;розовый;2;;18
941;Мобильные телефоны;861518;Мобильный телефон BQ BQ-5020 Strike;5 489,0;9;BQ;серый;9;;18
942;Мобильные телефоны;861518;Мобильный телефон BQ BQ-5020 Strike;5 324,0;2;BQ;черный;4;;18
943;Мобильные телефоны;571962;Мобильный телефон Sony Xperia Z3 Plus;11390,5;5;Sony;;0;;5
944;Мобильные телефоны;571962;Мобильный телефон Sony Xperia Z3 Plus;11 390,5;8;Sony;черный;4;;5
945;Мобильные телефоны;571962;Мобильный телефон Sony Xperia Z3 Plus;11 390,5;9;Sony;белый;5;;5
946;Мобильные телефоны;914418;Мобильный телефон LeEco Le 2 X620;8459,0;9;LeEco;;0;;19
947;Мобильные телефоны;914418;Мобильный телефон LeEco Le 2 X620;14 839,0;11;LeEco;золотистый;1;;19
948;Мобильные телефоны;914418;Мобильный телефон LeEco Le 2 X620;8 459,0;12;LeEco;серый;9;;19
949;Мобильные телефоны;84536;Мобильный телефон Nokia E72;5388,9;10;Nokia;;0;;6
950;Мобильные телефоны;84536;Мобильный телефон Nokia E72;5 388,9;12;Nokia;серебристый;3;;6
951;Мобильные телефоны;84536;Мобильный телефон Nokia E72;4 180,0;8;Nokia;серый;9;;6
952;Мобильные телефоны;84536;Мобильный телефон Nokia E72;4 180,0;7;Nokia;фиолетовый;8;;6
953;Мобильные телефоны;84536;Мобильный телефон Nokia E72;5 388,9;14;Nokia;черный;4;;6
954;Мобильные телефоны;84536;Мобильный телефон Nokia E72;5 388,9;4;Nokia;белый;5;;6
955;Мобильные телефоны;84536;Мобильный телефон Nokia E72;5 388,9;2;Nokia;бронзовый;20;;6
956;Мобильные телефоны;1256715;Мобильный телефон Oukitel K10000 Pro;12408,0;7;Oukitel;;0;;20
957;Мобильные телефоны;1256715;Мобильный телефон Oukitel K10000 Pro;12 408,0;3;Oukitel;черный;4;;20
958;Мобильные телефоны;975930;Мобильный телефон Samsung Galaxy J2 Prime Duos;7095,0;5;Samsung;;0;;0
959;Мобильные телефоны;975930;Мобильный телефон Samsung Galaxy J2 Prime Duos;7 095,0;5;Samsung;золотистый;1;;0
960;Мобильные телефоны;975930;Мобильный телефон Samsung Galaxy J2 Prime Duos;7 258,9;13;Samsung;серебристый;3;;0
961;Мобильные телефоны;975930;Мобильный телефон Samsung Galaxy J2 Prime Duos;7 502,0;8;Samsung;черный;4;;0
962;Мобильные телефоны;1073859;Мобильный телефон Xiaomi Mi 5c 64GB;13475,0;4;Xiaomi;;0;;1
963;Мобильные телефоны;1073859;Мобильный телефон Xiaomi Mi 5c 64GB;13 530,0;3;Xiaomi;золотистый;1;;1
964;Мобильные телефоны;1073859;Мобильный телефон Xiaomi Mi 5c 64GB;13 475,0;12;Xiaomi;розовый;2;;1
965;Мобильные телефоны;1073859;Мобильный телефон Xiaomi Mi 5c 64GB;15 389,0;5;Xiaomi;черный;4;;1
966;Мобильные телефоны;819380;Мобильный телефон Asus Zenfone Go 8GB ZB452KG;4884,0;15;Asus;;0;;12
967;Мобильные телефоны;819380;Мобильный телефон Asus Zenfone Go 8GB ZB452KG;4 884,0;11;Asus;золотистый;1;;12
968;Мобильные телефоны;819380;Мобильный телефон Asus Zenfone Go 8GB ZB452KG;5 819,0;5;Asus;красный;7;;12
969;Мобильные телефоны;819380;Мобильный телефон Asus Zenfone Go 8GB ZB452KG;4 895,0;3;Asus;серебристый;3;;12
970;Мобильные телефоны;819380;Мобильный телефон Asus Zenfone Go 8GB ZB452KG;4 532,0;3;Asus;серый;9;;12
971;Мобильные телефоны;819380;Мобильный телефон Asus Zenfone Go 8GB ZB452KG;5 489,0;12;Asus;черный;4;;12
972;Мобильные телефоны;819380;Мобильный телефон Asus Zenfone Go 8GB ZB452KG;5 498,9;5;Asus;белый;5;;12
973;Мобильные телефоны;1029375;Мобильный телефон Xiaomi Redmi Note 4 Snapdragon 32GB;10219,0;15;Xiaomi;;0;;1
974;Мобильные телефоны;1029375;Мобильный телефон Xiaomi Redmi Note 4 Snapdragon 32GB;10 307,0;2;Xiaomi;золотистый;1;;1
975;Мобильные телефоны;1029375;Мобильный телефон Xiaomi Redmi Note 4 Snapdragon 32GB;10 219,0;3;Xiaomi;черный;4;;1
976;Мобильные телефоны;1029375;Мобильный телефон Xiaomi Redmi Note 4 Snapdragon 32GB;12 210,0;13;Xiaomi;белый;5;;1
977;Мобильные телефоны;770082;Мобильный телефон Samsung Galaxy J1 mini 2016;4279,0;7;Samsung;;0;;0
978;Мобильные телефоны;770082;Мобильный телефон Samsung Galaxy J1 mini 2016;4 279,0;5;Samsung;золотистый;1;;0
979;Мобильные телефоны;770082;Мобильный телефон Samsung Galaxy J1 mini 2016;4 279,0;7;Samsung;черный;4;;0
980;Мобильные телефоны;770082;Мобильный телефон Samsung Galaxy J1 mini 2016;5 487,9;3;Samsung;белый;5;;0
981;Мобильные телефоны;1173565;Мобильный телефон LG G6 Plus 128GB Duos;32877,9;7;LG;;0;;10
982;Мобильные телефоны;1173565;Мобильный телефон LG G6 Plus 128GB Duos;32 327,9;10;LG;золотистый;1;;10
983;Мобильные телефоны;1173565;Мобильный телефон LG G6 Plus 128GB Duos;32 547,9;3;LG;черный;4;;10
984;Мобильные телефоны;1173565;Мобильный телефон LG G6 Plus 128GB Duos;32 448,9;3;LG;синий;6;;10
