ID;Категория;Артикул;Имя товара;Цена;Количество;Производитель;Опция:Цвет;GroupID;GroupID;ManufID
50;Мобильные телефоны;1055805;Мобильный телефон Xiaomi Redmi Note 4x 32GB;10 219,0;5;Xiaomi;черный;4;;1
51;Мобильные телефоны;1055805;Мобильный телефон Xiaomi Redmi Note 4x 32GB;10 274,0;13;Xiaomi;бирюзовый;11;;1
52;Мобильные телефоны;1055805;Мобильный телефон Xiaomi Redmi Note 4x 32GB;10 175,0;4;Xiaomi;синий;6;;1
53;Мобильные телефоны;1120309;Мобильный телефон Xiaomi Mi Max 2 64GB;13838,0;8;Xiaomi;;0;;1
54;Мобильные телефоны;1120309;Мобильный телефон Xiaomi Mi Max 2 64GB;13 838,0;15;Xiaomi;золотистый;1;;1
55;Мобильные телефоны;1120309;Мобильный телефон Xiaomi Mi Max 2 64GB;14 157,0;15;Xiaomi;черный;4;;1
56;Мобильные телефоны;543414;Мобильный телефон Samsung Galaxy S6 32GB;11759,0;5;Samsung;;0;;0
57;Мобильные телефоны;543414;Мобильный телефон Samsung Galaxy S6 32GB;11 759,0;14;Samsung;золотистый;1;;0
58;Мобильные телефоны;543414;Мобильный телефон Samsung Galaxy S6 32GB;11 759,0;9;Samsung;черный;4;;0
59;Мобильные телефоны;543414;Мобильный телефон Samsung Galaxy S6 32GB;11 759,0;12;Samsung;белый;5;;0
60;Мобильные телефоны;543414;Мобильный телефон Samsung Galaxy S6 32GB;11 748,0;4;Samsung;синий;6;;0
61;Мобильные телефоны;1062262;Мобильный телефон Xiaomi Redmi 4x 16GB;8019,0;6;Xiaomi;;0;;1
62;Мобильные телефоны;1062262;Мобильный телефон Xiaomi Redmi 4x 16GB;8 019,0;12;Xiaomi;золотистый;1;;1
63;Мобильные телефоны;1062262;Мобильный телефон Xiaomi Redmi 4x 16GB;8 250,0;11;Xiaomi;розовый;2;;1
64;Мобильные телефоны;1062262;Мобильный телефон Xiaomi Redmi 4x 16GB;8 217,0;4;Xiaomi;черный;4;;1
65;Мобильные телефоны;1265001;Мобильный телефон Xiaomi Redmi 5 Plus 32GB;10769,0;9;Xiaomi;;0;;1
66;Мобильные телефоны;1265001;Мобильный телефон Xiaomi Redmi 5 Plus 32GB;11 869,0;5;Xiaomi;золотистый;1;;1
67;Мобильные телефоны;1265001;Мобильный телефон Xiaomi Redmi 5 Plus 32GB;12 298,0;8;Xiaomi;розовый;2;;1
68;Мобильные телефоны;1265001;Мобильный телефон Xiaomi Redmi 5 Plus 32GB;11 627,0;10;Xiaomi;черный;4;;1
69;Мобильные телефоны;1265001;Мобильный телефон Xiaomi Redmi 5 Plus 32GB;10 769,0;13;Xiaomi;синий;6;;1
70;Мобильные телефоны;1097143;Мобильный телефон Xiaomi Mi 6 64GB;22836,0;10;Xiaomi;;0;;1
71;Мобильные телефоны;1097143;Мобильный телефон Xiaomi Mi 6 64GB;22 836,0;7;Xiaomi;черный;4;;1
72;Мобильные телефоны;1097143;Мобильный телефон Xiaomi Mi 6 64GB;31 790,0;4;Xiaomi;белый;5;;1
73;Мобильные телефоны;1097143;Мобильный телефон Xiaomi Mi 6 64GB;23 749,0;15;Xiaomi;синий;6;;1
74;Мобильные телефоны;511468;Мобильный телефон Xiaomi Mi 5 32GB;10175;8;Xiaomi;;0;;1
75;Мобильные телефоны;511468;Мобильный телефон Xiaomi Mi 5 32GB;10 175,0;13;Xiaomi;золотистый;1;;1
76;Мобильные телефоны;511468;Мобильный телефон Xiaomi Mi 5 32GB;10 505,0;13;Xiaomi;розовый;2;;1
77;Мобильные телефоны;511468;Мобильный телефон Xiaomi Mi 5 32GB;10 835,0;4;Xiaomi;черный;4;;1
78;Мобильные телефоны;511468;Мобильный телефон Xiaomi Mi 5 32GB;17 490,0;6;Xiaomi;белый;5;;1
79;Мобильные телефоны;511468;Мобильный телефон Xiaomi Mi 5 32GB;8 965,0;9;Xiaomi;синий;6;;1
80;Мобильные телефоны;916468;Мобильный телефон Apple iPhone 7 128GB;31141,0;11;Apple;;0;;2
81;Мобильные телефоны;916468;Мобильный телефон Apple iPhone 7 128GB;31 141,0;14;Apple;золотистый;1;;2
82;Мобильные телефоны;916468;Мобильный телефон Apple iPhone 7 128GB;31 141,0;8;Apple;красный;7;;2
83;Мобильные телефоны;916468;Мобильный телефон Apple iPhone 7 128GB;31 141,0;5;Apple;розовый;2;;2
84;Мобильные телефоны;916468;Мобильный телефон Apple iPhone 7 128GB;31 141,0;13;Apple;серебристый;3;;2
85;Мобильные телефоны;916468;Мобильный телефон Apple iPhone 7 128GB;31 141,0;9;Apple;черный;4;;2
86;Мобильные телефоны;311531;Мобильный телефон Apple iPhone 5S 16GB;9091,5;2;Apple;;0;;2
87;Мобильные телефоны;311531;Мобильный телефон Apple iPhone 5S 16GB;9 091,5;12;Apple;золотистый;1;;2
88;Мобильные телефоны;311531;Мобильный телефон Apple iPhone 5S 16GB;9 091,5;12;Apple;серебристый;3;;2
89;Мобильные телефоны;311531;Мобильный телефон Apple iPhone 5S 16GB;9 091,5;2;Apple;серый;9;;2
90;Мобильные телефоны;1199574;Мобильный телефон Xiaomi Mi A1 64GB;13233,0;14;Xiaomi;;0;;1
91;Мобильные телефоны;1199574;Мобильный телефон Xiaomi Mi A1 64GB;13 255,0;14;Xiaomi;золотистый;1;;1
92;Мобильные телефоны;1199574;Мобильный телефон Xiaomi Mi A1 64GB;15 730,0;13;Xiaomi;красный;7;;1
93;Мобильные телефоны;1199574;Мобильный телефон Xiaomi Mi A1 64GB;13 233,0;7;Xiaomi;розовый;2;;1
94;Мобильные телефоны;1199574;Мобильный телефон Xiaomi Mi A1 64GB;13 563,0;10;Xiaomi;черный;4;;1
95;Мобильные телефоны;1075089;Мобильный телефон Apple iPhone SE 32GB;19045,4;12;Apple;;0;;2
96;Мобильные телефоны;1075089;Мобильный телефон Apple iPhone SE 32GB;19 789,0;8;Apple;золотистый;1;;2
97;Мобильные телефоны;1075089;Мобильный телефон Apple iPhone SE 32GB;20 238,9;5;Apple;розовый;2;;2
98;Мобильные телефоны;1075089;Мобильный телефон Apple iPhone SE 32GB;19 789,0;9;Apple;серебристый;3;;2
99;Мобильные телефоны;1075089;Мобильный телефон Apple iPhone SE 32GB;19 789,0;10;Apple;серый;9;;2
100;Мобильные телефоны;1192400;Мобильный телефон Samsung Galaxy Note8 64GB;49168,9;15;Samsung;;0;;0
101;Мобильные телефоны;1192400;Мобильный телефон Samsung Galaxy Note8 64GB;49 168,9;6;Samsung;золотистый;1;;0
102;Мобильные телефоны;1192400;Мобильный телефон Samsung Galaxy Note8 64GB;51 150,0;14;Samsung;серый;9;;0
103;Мобильные телефоны;1192400;Мобильный телефон Samsung Galaxy Note8 64GB;52 250,0;8;Samsung;черный;4;;0
104;Мобильные телефоны;1192400;Мобильный телефон Samsung Galaxy Note8 64GB;60 940,0;3;Samsung;синий;6;;0
105;Мобильные телефоны;644294;Мобильный телефон Apple iPhone 6S 16GB;14575;14;Apple;;0;;2
106;Мобильные телефоны;644294;Мобильный телефон Apple iPhone 6S 16GB;14 575,0;10;Apple;золотистый;1;;2
107;Мобильные телефоны;644294;Мобильный телефон Apple iPhone 6S 16GB;14 575,0;4;Apple;розовый;2;;2
108;Мобильные телефоны;644294;Мобильный телефон Apple iPhone 6S 16GB;14 575,0;2;Apple;серебристый;3;;2
109;Мобильные телефоны;644294;Мобильный телефон Apple iPhone 6S 16GB;14 575,0;4;Apple;серый;9;;2
110;Мобильные телефоны;1265015;Мобильный телефон Xiaomi Redmi 5 Plus 64GB;12648,9;4;Xiaomi;;0;;1
111;Мобильные телефоны;1265015;Мобильный телефон Xiaomi Redmi 5 Plus 64GB;13 189,0;2;Xiaomi;золотистый;1;;1
112;Мобильные телефоны;1265015;Мобильный телефон Xiaomi Redmi 5 Plus 64GB;12 648,9;9;Xiaomi;розовый;2;;1
113;Мобильные телефоны;1265015;Мобильный телефон Xiaomi Redmi 5 Plus 64GB;12 648,9;2;Xiaomi;черный;4;;1
114;Мобильные телефоны;1265015;Мобильный телефон Xiaomi Redmi 5 Plus 64GB;13 024,0;3;Xiaomi;синий;6;;1
115;Мобильные телефоны;1225931;Мобильный телефон Xiaomi Redmi 5a 16GB;6268,9;5;Xiaomi;;0;;1
116;Мобильные телефоны;1225931;Мобильный телефон Xiaomi Redmi 5a 16GB;6 268,9;14;Xiaomi;золотистый;1;;1
117;Мобильные телефоны;1225931;Мобильный телефон Xiaomi Redmi 5a 16GB;6 488,9;9;Xiaomi;розовый;2;;1
118;Мобильные телефоны;1225931;Мобильный телефон Xiaomi Redmi 5a 16GB;6 809,0;13;Xiaomi;серый;9;;1
119;Мобильные телефоны;1130456;Мобильный телефон Samsung Galaxy J7 2017;15895,0;11;Samsung;;0;;0
